block,PCR,plate_ID,vial_ID,temp,emerged,sex,fly_no,date_pupated,date_emerged,pupation,survived_to_mating,date_mated,mating_success,time_in,time_start,time_stop,latency,latency_s,duration,duration_s,date_dissected,motility_3,motility_8
1,1,1,1A,28,0,,,,,,,,,,,,,,,,,,
1,1,1,1B,28,0,,,,,,,,,,,,,,,,,,
1,1,1,1C,28,0,,,,,,,,,,,,,,,,,,
1,1,1,2A,28,0,,,,,,,,,,,,,,,,,,
1,1,1,2A,28,0,,,,,,,,,,,,,,,,,,
1,1,1,2B,28,0,,,,,,,,,,,,,,,,,,
1,1,1,2B,28,0,,,,,,,,,,,,,,,,,,
1,1,1,11A,32.5,0,,,,,,,,,,,,,,,,,,
1,1,1,11B,32.5,0,,,,,,,,,,,,,,,,,,
1,1,1,11B,32.5,0,,,,,,,,,,,,,,,,,,
1,1,1,11B,32.5,0,,,,,,,,,,,,,,,,,,
1,1,1,12B,32.5,0,,,,,,,,,,,,,,,,,,
1,1,1,11B,32.5,1,1,1,18/04/2018,22/04/2018,4,1,25/04/2018,0,00:00:00,,,,,,,,,1
1,1,1,12A,32.5,1,1,2,18/04/2018,22/04/2018,4,1,25/04/2018,0,00:00:40,,,,,,,,,0
1,1,1,1A,28,1,1,3,18/04/2018,21/04/2018,3,1,25/04/2018,1,00:01:14,02:08:20,02:27:13,02:07:06,7626,00:18:53,1133,,,
1,1,1,2A,28,1,1,4,18/04/2018,21/04/2018,3,1,25/04/2018,0,00:01:49,,,,,,,,,1
1,1,1,12B,32.5,1,1,5,18/04/2018,22/04/2018,4,1,25/04/2018,0,00:02:40,,,,,,,,,0
1,1,1,11B,32.5,1,1,6,18/04/2018,22/04/2018,4,1,25/04/2018,0,00:03:15,,,,,,,,,1
1,1,1,1A,28,1,1,7,18/04/2018,22/04/2018,4,1,25/04/2018,0,00:03:55,,,,,,,,,1
1,1,1,1A,28,1,1,8,18/04/2018,22/04/2018,4,1,25/04/2018,1,00:04:08,03:15:05,03:37:30,03:10:57,11457,00:22:25,1345,,,
1,1,1,1A,28,1,1,9,18/04/2018,22/04/2018,4,1,25/04/2018,0,00:04:20,,,,,,,,,
1,1,1,12C,32.5,1,1,10,18/04/2018,22/04/2018,4,1,25/04/2018,0,00:05:10,,,,,,,,,
1,1,1,12C,32.5,1,1,11,18/04/2018,22/04/2018,4,1,25/04/2018,0,00:05:30,,,,,,,,,0
1,1,1,2A,28,1,1,12,18/04/2018,22/04/2018,4,1,25/04/2018,1,00:06:40,03:07:30,03:32:19,03:00:50,10850,00:24:49,1489,,,1
1,1,1,2A,28,1,1,13,18/04/2018,22/04/2018,4,1,25/04/2018,1,00:07:01,03:00:04,03:23:06,02:53:03,10383,00:23:02,1382,,,
1,1,1,2A,28,1,1,14,18/04/2018,22/04/2018,4,1,25/04/2018,1,00:07:24,02:26:30,02:50:30,02:19:06,8346,00:24:00,1440,,,
1,1,1,11A,32.5,1,1,15,18/04/2018,21/04/2018,3,1,25/04/2018,0,00:08:25,,,,,,,,,
1,1,1,11A,32.5,1,1,16,18/04/2018,21/04/2018,3,1,25/04/2018,0,00:08:53,,,,,,,,,1
1,1,1,2C,28,1,1,17,18/04/2018,22/04/2018,4,1,25/04/2018,0,00:10:00,,,,,,,,,1
1,1,1,2C,28,1,1,18,18/04/2018,22/04/2018,4,1,25/04/2018,1,00:09:47,01:31:10,01:53:52,01:21:23,4883,00:22:42,1362,,,
